word,freq,plural,pastTense,isName
brain,9.165586E-05,0,0,0
learn,9.158542E-05,0,0,0
stand,9.126014E-05,0,0,0
trust,9.09199E-05,0,0,0
allow,8.98091E-05,0,0,0
sleep,8.809076E-05,0,0,0
peace,8.718788E-05,0,0,0
faith,8.657792E-05,0,0,0
union,8.600658E-05,0,0,0
lines,8.585224E-05,1,0,0
offer,8.4951E-05,0,0,0
march,8.400524E-05,0,0,0
board,8.255864E-05,0,0,0
scale,8.252088E-05,0,0,0
thank,8.176628E-05,0,0,0
write,8.124126E-05,0,0,0
steps,8.093818E-05,1,0,0
seven,8.068808E-05,0,0,0
civil,8.055338E-05,0,0,0
wrote,7.98714E-05,0,0,0
brown,7.977228E-05,0,0,0
daily,7.974086E-05,0,0,0
event,7.952582E-05,0,0,0
india,7.946974E-05,0,0,1
lived,7.943068E-05,0,1,0
weeks,7.89023E-05,1,0,0
glass,7.880316E-05,0,0,0
moral,7.87428E-05,0,0,0
notes,7.86177E-05,1,0,0
built,7.782812E-05,0,0,0
costs,7.777898E-05,1,0,0
spoke,7.67222E-05,0,0,0
sorry,7.638372E-05,0,0,0
phase,7.637994E-05,0,0,0
looks,7.62439E-05,1,0,0
staff,7.54847E-05,0,0,0
reach,7.524206E-05,0,0,0
watch,7.34427E-05,0,0,0
girls,7.286846E-05,1,0,0
doubt,7.28667E-05,0,0,0
shook,7.269082E-05,0,0,0
gives,7.256804E-05,1,0,0
begin,7.206562E-05,0,0,0
cover,7.158258E-05,0,0,0
fully,7.158172E-05,0,0,0
claim,7.156122E-05,0,0,0
heavy,7.15587E-05,0,0,0
loved,7.140768E-05,0,1,0
break,7.061344E-05,0,0,0
older,7.048674E-05,0,0,0
spent,7.02283E-05,0,0,0
chair,6.993162E-05,0,0,0
peter,6.975812E-05,0,0,1
chest,6.941442E-05,0,0,0
eight,6.938312E-05,0,0,0
avoid,6.908248E-05,0,0,0
check,6.895206E-05,0,0,0
fight,6.883278E-05,0,0,0
noted,6.84188E-05,0,1,0
equal,6.838432E-05,0,0,0
drive,6.78319E-05,0,0,0
visit,6.77293E-05,0,0,0
labor,6.769182E-05,0,0,0
stone,6.737876E-05,0,0,0
urban,6.701002E-05,0,0,0
plant,6.700368E-05,0,0,0
piece,6.618172E-05,0,0,0
knows,6.5885E-05,1,0,0
serve,6.585054E-05,0,0,0
miles,6.50822E-05,1,0,0
chief,6.50058E-05,0,0,0
style,6.498728E-05,0,0,0
touch,6.440014E-05,0,0,0
trees,6.438368E-05,1,0,0
aware,6.428436E-05,0,0,0
shape,6.425162E-05,0,0,0
sight,6.38172E-05,0,0,0
worth,6.346286E-05,0,0,0
rates,6.32641E-05,1,0,0
month,6.324196E-05,0,0,0
scene,6.300606E-05,0,0,0
speed,6.271042E-05,0,0,0
prior,6.218978E-05,0,0,0
names,6.114654E-05,1,0,0
crime,6.11229E-05,0,0,0
color,6.10274E-05,0,0,0
occur,6.082456E-05,0,0,0
build,5.930362E-05,0,0,0
fixed,5.892996E-05,0,1,0
upper,5.873192E-05,0,0,0
horse,5.850564E-05,0,0,0
smith,5.841268E-05,0,0,0
paris,5.829172E-05,1,0,0
henry,5.824426E-05,0,0,1
carry,5.760598E-05,0,0,0
trial,5.735798E-05,0,0,0
goods,5.71637E-05,1,0,0
wants,5.699364E-05,1,0,0
apply,5.697018E-05,0,0,0
plans,5.679324E-05,1,0,0
drink,5.647384E-05,0,0,0
tears,5.589652E-05,1,0,0
hence,5.58669E-05,0,0,0
index,5.584756E-05,0,0,0
quiet,5.55162E-05,0,0,0
fresh,5.54794E-05,0,0,0
title,5.519962E-05,0,0,0
tools,5.505788E-05,1,0,0
enter,5.487864E-05,0,0,0
quick,5.46731E-05,0,0,0
guide,5.445088E-05,0,0,0
birth,5.43363E-05,0,0,0
stock,5.428052E-05,0,0,0
dream,5.380156E-05,0,0,0
walls,5.35034E-05,1,0,0
forth,5.33897E-05,0,0,0
agent,5.331242E-05,0,0,0
youth,5.324114E-05,0,0,0
empty,5.297824E-05,0,0,0
ahead,5.285724E-05,0,0,0
exist,5.284166E-05,0,0,0
goals,5.249976E-05,1,0,0
named,5.23108E-05,0,1,0
metal,5.202784E-05,0,0,0
judge,5.186556E-05,0,0,0
sweet,5.17679E-05,0,0,0
novel,5.154866E-05,0,0,0
royal,5.141106E-05,0,0,0
worse,5.138892E-05,0,0,0
apart,5.13474E-05,0,0,0
views,5.090146E-05,1,0,0
clean,5.083136E-05,0,0,0
grace,5.04615E-05,0,0,0
store,5.045848E-05,0,0,0
enemy,5.035554E-05,0,0,0
calls,5.00759E-05,1,0,0
guess,4.99065E-05,0,0,0
cried,4.94015E-05,0,0,0
train,4.924028E-05,0,0,0
truly,4.902888E-05,0,0,0
signs,4.855696E-05,1,0,0
units,4.837218E-05,1,0,0
hotel,4.812538E-05,0,0,0
greek,4.791956E-05,0,0,1
shift,4.788596E-05,0,0,0
usual,4.76482E-05,0,0,0
joint,4.756398E-05,0,0,0
adult,4.754738E-05,0,0,0
roman,4.738122E-05,0,0,1
drawn,4.734544E-05,0,0,0
broad,4.715768E-05,0,0,0
items,4.707462E-05,1,0,0
tests,4.70585E-05,1,0,0
leads,4.654826E-05,1,0,0
queen,4.647404E-05,0,0,0
dress,4.63966E-05,0,0,0
block,4.610912E-05,0,0,0
error,4.605476E-05,0,0,0
FALSE,4.605044E-05,0,0,0
sides,4.57383E-05,1,0,0
japan,4.573214E-05,0,0,1
brief,4.554892E-05,0,0,0
ended,4.554326E-05,0,1,0
bound,4.544912E-05,0,0,0
solid,4.5094E-05,0,0,0
layer,4.4861E-05,0,0,0
thick,4.485326E-05,0,0,0
noise,4.466944E-05,0,0,0
chain,4.466296E-05,0,0,0
anger,4.462212E-05,0,0,0
alive,4.459194E-05,0,0,0
worry,4.443928E-05,0,0,0
sales,4.40897E-05,1,0,0
ratio,4.400232E-05,0,0,0
sites,4.39733E-05,1,0,0
facts,4.393788E-05,1,0,0
drugs,4.381452E-05,1,0,0
broke,4.370538E-05,0,0,0
spend,4.369188E-05,0,0,0
cycle,4.32497E-05,0,0,0
liked,4.322126E-05,0,1,0
count,4.311392E-05,0,0,0
grand,4.274478E-05,0,0,0
teeth,4.272086E-05,0,0,0
aside,4.260204E-05,0,0,0
inner,4.233318E-05,0,0,0
agree,4.221286E-05,0,0,0
dance,4.21535E-05,0,0,0
frame,4.214306E-05,0,0,0
enjoy,4.206276E-05,0,0,0
waste,4.196058E-05,0,0,0
users,4.194264E-05,1,0,0
input,4.182678E-05,0,0,0
crowd,4.163934E-05,0,0,0
limit,4.151956E-05,0,0,0
catch,4.149696E-05,0,0,0
texts,4.141962E-05,1,0,0
lying,4.138268E-05,0,0,0
mixed,4.088312E-05,0,1,0
kinds,4.085448E-05,1,0,0
games,4.074156E-05,1,0,0
prove,4.07003E-05,0,0,0
angry,4.058566E-05,0,0,0
guard,4.04901E-05,0,0,0
sharp,4.04316E-05,0,0,0
video,4.036538E-05,0,0,0
laugh,4.033438E-05,0,0,0
turns,4.002202E-05,1,0,0
rural,3.972152E-05,0,0,0
track,3.963176E-05,0,0,0
taste,3.957334E-05,0,0,0
uncle,3.954616E-05,0,0,0
plane,3.941966E-05,0,0,0
extra,3.939072E-05,0,0,0
ideal,3.911032E-05,0,0,0
plate,3.89231E-05,0,0,0
ought,3.826964E-05,0,0,0
heads,3.808256E-05,1,0,0
stuff,3.793064E-05,0,0,0
shirt,3.785632E-05,0,0,0
grown,3.785098E-05,0,0,0
twice,3.774542E-05,0,0,0
radio,3.74977E-05,0,0,0
grant,3.73385E-05,0,0,0
faces,3.729222E-05,1,0,0
faced,3.721996E-05,0,1,0
doors,3.714336E-05,1,0,0
click,3.702342E-05,0,0,0
refer,3.688776E-05,0,0,0
tasks,3.686348E-05,1,0,0
proof,3.685348E-05,0,0,0
banks,3.681756E-05,1,0,0
argue,3.677706E-05,0,0,0
sugar,3.672678E-05,0,0,0
fifty,3.668228E-05,0,0,0
frank,3.6676E-05,0,0,0
hoped,3.66029E-05,0,1,0
